Erik Harris\HarrEr00,OAK,29,S,4,0
Darrell Henderson\HendDa00,LAR,22,,0,0
Tyreek Hill\HillTy00,KAN,25,wr,5,0
Johnny Holton\HoltJo00,PIT,28,,9,0
Adam Humphries\HumpAd00,TEN,26,wr,1,0
Alshon Jeffery\JeffAl00,PHI,29,WR,2,1
Diontae Johnson\JohnDi01,PIT,23,WR,6,0
KeeSean Johnson\JohnKe07,ARI,23,wr,3,0
Julio Jones\JoneJu02,ATL,30,WR,1,0
Marvin Jones\JoneMa02,DET,29,WR,4,0
Kyle Juszczyk\JuszKy00,SFO,28,RB,6,0
George Kittle\KittGe00,SFO,26,TE,18,0
Dawson Knox\KnoxDa00,BUF,23,te,9,0
Jarvis Landry\LandJa00,CLE,27,WR,10,0
Anthony Levine\LeviAn00,BAL,32,,60,0
Zach Line\LineZa01,NOR,29,fb,0,0
Tyler Lockett\LockTy00,SEA,27,WR,-8,0
Scott Miller\MillSc01,TAM,22,,18,0
D.J. Moore\MoorD.00,CAR,22,WR,12,0
Matt Moore\MoorMa01,KAN,35,,-1,0
Zach Pascal\PascZa00,IND,25,WR,12,0
Breshad Perriman\PerrBr02,TAM,26,,13,0
Bilal Powell\PoweBi00,NYJ,31,,4,0
Andre Roberts\RobeAn00,BUF,31,,7,0
Ben Roethlisberger\RoetBe00,PIT,37,qb,7,0
Anthony Sherman\SherAn00,KAN,31,,2,0
Jonnu Smith\SmitJo01,TEN,24,TE,10,0
Vyncint Smith\SmitVy00,NYJ,23,,19,1
Diontae Spencer\SpenDi00,DEN,27,,9,0
Adam Thielen\ThieAd00,MIN,29,WR,1,1
Marquez Valdes-Scantling\ValdMa00,GNB,25,WR,0,0
Danny Vitale\VitaDa00,GNB,26,fb,3,0
Darren Waller\WallDa01,OAK,27,TE,7,0
Albert Wilson\WilsAl02,MIA,27,,1,0
Tom Brady\BradTo00,NWE,42,QB,1743,10
Jared Goff\GoffJa00,LAR,25,QB,1649,7
Matt Ryan\RyanMa00,ATL,34,QB,1655,11
Andy Dalton\DaltAn00,CIN,32,QB,1412,7
Kyler Murray\MurrKy00,ARI,22,QB,1324,4
Patrick Mahomes\MahoPa00,KAN,24,QB,1831,11
Philip Rivers\RivePh00,LAC,38,QB,1465,7
Aaron Rodgers\RodgAa00,GNB,36,QB,1307,6
Carson Wentz\WentCa00,PHI,27,QB,1152,10
Dak Prescott\PresDa01,DAL,26,QB,1606,11
Joe Flacco\FlacJo00,DEN,34,QB,1258,6
Jacoby Brissett\BrisJa00,IND,27,QB,1062,10
Jameis Winston\WinsJa00,TAM,25,QB,1371,11
Gardner Minshew\MinsGa00,JAX,23,QB,1279,9
Josh Allen\AlleJo02,BUF,23,QB,1122,5
Lamar Jackson\JackLa00,BAL,22,QB,1271,11
Derek Carr\CarrDe02,OAK,28,QB,1117,6
Baker Mayfield\MayfBa00,CLE,24,QB,1247,4
Deshaun Watson\WatsDe00,HOU,24,QB,1364,11
Russell Wilson\WilsRu00,SEA,31,QB,1409,12
Marcus Mariota\MariMa01,TEN,26,QB,1116,7
Matthew Stafford\StafMa00,DET,31,QB,1122,9
Daniel Jones\JoneDa05,NYG,22,QB,921,5
Case Keenum\KeenCa00,WAS,31,QB,970,7
